DATE,TIME,Qty,PRODUCTID,Price,ProductType
30/05/2018,23:00,1,CC-2828,$79.36,"Camp Light, Two-Pack"
31/05/2018,15:30,3,HK-9973,$39.49,Women's Ventilated Hiking Shoes
21/06/2018,23:15,1,CC-5815,$13.57,Field Watch
22/06/2018,23:30,1,YY-2632,$27.84,Women's Capris
23/06/2018,23:45,0,YY-1196,$90.15,Girls' Tee
24/06/2018,00:00,0,YY-1894,$13.52,"Men's Socks, Two-Pack"
26/06/2018,00:30,0,BH-1861,$82.12,Women's Socks
27/06/2018,17:15,1,RI-7731,$65.13,"Ceramic Lamp, Stripe"
29/06/2018,10:00,1,ZN-7072,$88.21,Kids' High Handles Boots
30/06/2018,10:15,2,GN-1306,$78.95,National Park Patch
13/07/2018,10:30,1,GN-7767,$25.88,Men's Versatile Tote
14/07/2018,10:45,0,GN-4624,$24.52,Summer Slip-On Sneakers
15/07/2018,16:45,20,RI-7676,$7.49,Kids' Hydration Pack
16/07/2018,17:00,3,RI-5314,$76.26,Fishing Sunglasses
17/07/2018,16:30,0,YY-7734,$73.42,Havana Hat
18/07/2018,17:30,1,BH-7744,$56.76,Headlamp
19/07/2018,17:45,1,YY-8580,$6.31,"Underwear, Print"
20/07/2018,18:00,1,BH-7918,$63.7,Kids' Jumper Hat
22/07/2018,18:30,1,BH-1085,$85.07,Heated Insoles
24/07/2018,16:00,6,GN-2043,$23.25,"Men's Boots, 10"" Shearling-Lined"
