file,duckdbparse_metric_ground_truth,duckdbparse_strict_ground_truth,duckdbparse_matched_ground_truth,duckdbparse_correct,duckdbparse_wrong,duckdbparse_evaluation_error,duckdbparse_success,duckdbparse_header_precision,duckdbparse_header_recall,duckdbparse_header_f1,duckdbparse_record_precision,duckdbparse_record_recall,duckdbparse_record_f1,duckdbparse_cell_precision,duckdbparse_cell_recall,duckdbparse_cell_f1
file_mixed_time_formats_day_month_year.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_mixed_time_formats_iso_8601.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_mixed_time_formats_long_month_name.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_mixed_time_formats_long_month_name_unquoted.csv,temporal_values_as_strings,,,0,1,,1,1.0,1.0,1.0,0.5060240963855421,0.5060240963855421,0.5060240963855421,0.8915343915343915,0.8915343915343915,0.8915343915343915
file_mixed_time_formats_month_day_year.csv,temporal_values_as_strings,temporal_values_as_strings,temporal_values_as_strings,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_more_columns_row_34_col_1.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9986789960369881,1.0,0.9993390614672836
file_more_columns_row_39_col_8.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9986789960369881,1.0,0.9993390614672836
file_more_columns_row_72_col_5.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9986789960369881,1.0,0.9993390614672836
file_more_columns_row_79_col_7.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9986789960369881,1.0,0.9993390614672836
file_more_columns_row_9_col_6.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,0.9986789960369881,1.0,0.9993390614672836
file_move_header_row8.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9880952380952381,0.9880952380952381,0.9880952380952381
file_multiline_header_rows_3.csv,canonical,,,0,1,,1,1.0,0.75,0.8571428571428571,0.0,0.0,0.0,0.44666666666666666,0.9970238095238095,0.6169429097605893
file_no_header.csv,canonical,,,0,1,,1,0.0,0.0,0.0,1.0,0.9879518072289156,0.993939393939394,1.0,0.9880952380952381,0.9940119760479043
file_no_payload.csv,canonical,,,0,1,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_no_trailing_newline.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_columns_1000.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_columns_pad_randints_1000.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_num_rows_50000_repeat_file.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_one_data_row.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_preamble.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_quotation_char_0x27.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_quotation_char_none.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.12048192771084337,0.12048192771084337,0.12048192771084337,0.7103174603174603,0.7103174603174603,0.7103174603174603
file_record_delimiter_0xA.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_record_delimiter_0xD.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_superheader_sparse_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,without_superheader,,,0,1,,1,1.0,1.0,1.0,1.0,0.9880952380952381,0.9940119760479043,1.0,0.9882352941176471,0.9940828402366864
file_superheader_whitespace_aligned_columns_transaction_info_cols_0-1-2_group_product_info_cols_3-4-5-6-7_group_notes_cols_8.csv,without_superheader,,,0,1,,1,1.0,1.0,1.0,0.0,0.0,0.0,0.45105820105820105,0.44575163398692813,0.44838921761998685
file_unescaped_multiline_string_row_2_col_7.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9761904761904762,0.9820359281437125,0.9986772486772487,0.9869281045751634,0.9927679158448389
file_unquoted_lists_row_9_col_6.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9947089947089947,0.9947089947089947,0.9947089947089947
file_whitespace_delimiter_cells_quoted_empty_last_column_padded.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.0,0.0,0.0,0.5608465608465608,0.5608465608465608,0.5608465608465608
file_whitespace_delimiter_cells_quoted_padded.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.0,0.0,0.0,0.5608465608465608,0.5608465608465608,0.5608465608465608
file_whitespace_delimiter_cells_quoted_unpadded.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
file_whitespace_delimiter_cells_unquoted_padded.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.0,0.0,0.0,0.671957671957672,0.671957671957672,0.671957671957672
row_quotation_mark_12_0x27.csv,canonical,,,0,1,,1,1.0,1.0,1.0,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.9947089947089947,0.9947089947089947,0.9947089947089947
source.csv,canonical,canonical,canonical,1,0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
