DATE,TIME,Qty,PRODUCTID,Price,ProductType,ProductDescription,URL,Comments
20/03/2018,06:45,0,YY-2057,$43.4,"Tippet Material, Pro Freshwater","This tippet is field tested in a variety of situations, from spring creeks to tidal rips, and is guaranteed to perform under the worst weather conditions.",https://www.example.com/product/YY_2057.html,
22/03/2018,07:15,3,BH-1732,$65.46,"Waterproof Boots, Tall",Industry-leading insulation and innovative construction allow us to make these super-warm winter boots 50% lighter than traditional boots.,https://www.example.com/product/BH_1732.html,
24/03/2018,07:45,0,BH-4480,$51.42,Heated Insoles,"This pair of water-resistant, remote-controlled heated insoles features thermal technology engineered to keep your feet warm, not hot, to avoid sweating and freezing.",https://www.example.com/product/BH_4480.html,
25/03/2018,08:00,0,BH-1061,$62.55,"Base Layer, Pants",Our exclusive wool performance fabric makes these pants an ideal base layer for cool-weather sports.,https://www.example.com/product/BH_1061.html,
26/03/2018,08:15,2,ON-7017,$0.9,"Quarter-Zip Hoodie, Camo","This camo quarter-zip hoodie is an extremely versatile mid layer thats great for all hunting seasons. Its made from warm, breathable fleece and features an innovative lightweight hood with a built-in face mask.",https://www.example.com/product/ON_7017.html,
27/03/2018,08:30,3,ON-1026,$20.65,"Tee, Traditional Fit, Short-Sleeve","Made of soft cotton that resists wrinkles, stains, shrinking, fading and pilling, our resilient tee keeps its shape wash after wash.",https://www.example.com/product/ON_1026.html,
30/03/2018,09:15,0,AN-1646,$78.74,"Rolling Duffle, Extra-Large","We kept the heritage-inspired design of our spacious rolling duffle, then added thoughtful details like easy-rolling spinner wheels.",https://www.example.com/product/AN_1646.html,
31/03/2018,09:30,0,AN-9388,$64.02,"Linen Shirt, Slightly Fitted Short-Sleeve Stripe","Lightweight and breathable, this colorful shirt will be a warm-weather mainstay year after year. Light and comfortable, perfect for summer.",https://www.example.com/product/AN_9388.html,
13/04/2018,11:00,4,YY-9611,$3.79,"Women's Hunting Shoes, 10""","The original boot, made since 1912. Now with even more protection from cold, wet weather, with the addition of a waterproof liner and warm insulation.",https://www.example.com/product/YY_9611.html,
14/04/2018,11:15,12,RI-1639,$25.14,"Men's Loafers, Leather/Nubuck","Our finest leather Men's slip-on penny loafers are handstitched from supple, fine-grain nubuck leather that molds to your foot for a custom-like feel.",https://www.example.com/product/RI_1639.html,
17/04/2018,12:00,16,CC-5271,$38.81,"Kids' Shirt, Short Sleeve, Graphic","With its great coverage and UPF 50+ sun protection, this quick-drying kids' rashguard blocks the sun, but not the summer fun.",https://www.example.com/product/CC_5271.html,
20/04/2018,12:45,15,YY-8954,$64.19,"Travel Lock, Combination Cable",This luggage lock helps keep your belongings secure while traveling. Allows your luggage to go through airport security and arrive at your destination fully locked.,https://www.example.com/product/YY_8954.html,
26/04/2018,14:15,22,HK-4191,$3.35,"Women's Waterproof Hiking Boots, Leather Mesh","The classic alpine hiker is back, with retro style and all-day comfort you'll want to wear beyond the trail.",https://www.example.com/product/HK_4191.html,
18/05/2018,20:00,30,AN-2099,$64.14,Sandals,"An exclusive, these colorblocked sandals are an absolutely beautiful and incredibly comfortable addition to your warm-weather wardrobe.",https://www.example.com/product/AN_2099.html,
19/05/2018,20:15,33,AN-5746,$83.75,"Flannel Tunic, Plaid",Our most rugged flannel shirt is also one of the softest - double brushed for an exceptional feel. Made from heavyweight organic cotton in a flattering longer length.,https://www.example.com/product/AN_5746.html,
23/05/2018,21:15,2,GN-1741,$48.05,"Beach Chair, Print","With four reclining positions and backpack straps for easy carrying, this is the most comfortable and convenient folding beach chair we've ever offered.",https://www.example.com/product/GN_1741.html,
25/05/2018,21:45,0,GN-3028,$12.98,"Swimwear, Print","With flattering coverage, amazing stay-put shape and quick-dry comfort, our best-value one-piece bathing suit is designed for sun and surf. Made from premium Italian swim fabric in fun wave print.",https://www.example.com/product/GN_3028.html,
28/05/2018,22:30,1,WH-2859,$72.91,"Tee, Traditional Fit, Long-Sleeve","Made of soft cotton that resists wrinkles, stains, shrinking, fading and pilling, our resilient tee keeps its shape wash after wash.",https://www.example.com/product/WH_2859.html,
30/05/2018,23:00,1,CC-2828,$79.36,"Camp Light, Two-Pack","Collapsed or extended, our lightweight camp lights take up minimal space, making them handy to bring on hikes and camping trips, and easy to keep on hand in case of a power outage.",https://www.example.com/product/CC_2828.html,
24/06/2018,00:00,0,YY-1894,$13.52,"Men's Socks, Two-Pack","Made of moisture-wicking merino wool with nylon for durability and spandex for shape-retaining stretch, these soft, form-fitting men's chino socks offer all-day comfort at home or work.",https://www.example.com/product/YY_1894.html,
27/06/2018,17:15,1,RI-7731,$65.13,"Ceramic Lamp, Stripe","Bring light, texture and classic style to any space with this coast-inspired striped ceramic table lamp.",https://www.example.com/product/RI_7731.html,
18/07/2018,17:30,1,BH-7744,$56.76,Headlamp,"With proprietary construction, a front profile of only 9mm and weighing only 2.4 oz., this bright headlamp sits comfortably on your forehead without bouncing or slipping.",https://www.example.com/product/BH_7744.html,
19/07/2018,17:45,1,YY-8580,$6.31,"Underwear, Print",Our built-in fabric technology traps your body heat and keeps you up to 7 degrees warmer: for comfort as the days and months get colder.,https://www.example.com/product/YY_8580.html,
24/07/2018,16:00,6,GN-2043,$23.25,"Men's Boots, 10"" Shearling-Lined","With waterproof leather outside and soft, plush shearling inside, our lined Boots are very possibly the coolest, warmest boots ever. Handcrafted right here.",https://www.example.com/product/GN_2043.html,
